                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2516,                 0.6777,                 1.0795,                 0.8931,                      1,                  0.962,                0.61859,                 1.2837,                 0.6089,                 1.0854,              0.0015597,              0.0015597,              0.0015597
                     81,                 1.2225,                0.65048,                 1.0862,                0.89364,                      1,                  0.984,                0.63419,                 1.3447,                0.56164,                 1.1541,              0.0015584,              0.0015584,              0.0015584
                     82,                  1.203,                0.63617,                 1.0826,                 0.8932,                      1,                  0.984,                0.54276,                 1.6664,                0.62289,                 1.2712,               0.001557,               0.001557,               0.001557
                     83,                 1.1688,                0.63706,                 1.0408,                0.89369,                      1,                  0.984,                0.62925,                 1.4543,                 0.6286,                 1.1607,              0.0015556,              0.0015556,              0.0015556
                     84,                 1.1953,                0.63407,                 1.0642,                0.89263,                      1,                  0.973,                 0.5301,                 1.6173,                0.61279,                 1.2541,              0.0015542,              0.0015542,              0.0015542
                     85,                 1.2221,                0.63808,                  1.069,                0.89356,                      1,                  0.973,                0.60747,                 1.4723,                0.60931,                 1.1436,              0.0015529,              0.0015529,              0.0015529
                     86,                 1.2277,                0.66947,                 1.0748,                0.89341,                      1,                  0.962,                0.52435,                 1.6399,                0.66951,                 1.2586,              0.0015515,              0.0015515,              0.0015515
                     87,                 1.1936,                  0.644,                 1.0489,                0.89513,                      1,                  0.973,                0.63584,                 1.3775,                0.57193,                 1.1114,              0.0015501,              0.0015501,              0.0015501
                     88,                 1.1855,                0.62014,                 1.0695,                0.89257,                      1,                  0.984,                0.53352,                 1.6642,                  0.665,                 1.2568,              0.0015487,              0.0015487,              0.0015487
                     89,                 1.1843,                0.60955,                 1.0572,                0.89315,                      1,                  0.973,                0.62872,                 1.3583,                0.55616,                 1.1187,              0.0015474,              0.0015474,              0.0015474
                     90,                 1.2429,                0.67433,                  1.079,                0.96328,                      1,                  0.995,                 0.6128,                 1.4935,                0.58581,                 1.1435,               0.001546,               0.001546,               0.001546
                     91,                 1.2147,                0.65458,                 1.0573,                 0.8976,                      1,                  0.995,                0.68254,                 1.3348,                0.60037,                 1.0895,              0.0015446,              0.0015446,              0.0015446
                     92,                 1.1816,                0.62169,                  1.063,                0.89332,                      1,                  0.984,                0.63405,                 1.4506,                0.61251,                 1.1179,              0.0015432,              0.0015432,              0.0015432
                     93,                 1.2208,                0.65494,                 1.0639,                0.89403,                      1,                  0.984,                0.59914,                 1.5121,                0.59593,                 1.1714,              0.0015418,              0.0015418,              0.0015418
                     94,                   1.19,                 0.6265,                 1.0641,                0.99723,                      1,                  0.995,                0.63733,                 1.4834,                0.55842,                 1.1317,              0.0015405,              0.0015405,              0.0015405
                     95,                 1.1484,                0.60065,                 1.0328,                0.98356,                      1,                  0.995,                 0.6076,                 1.5503,                0.64394,                 1.1737,              0.0015391,              0.0015391,              0.0015391
                     96,                 1.1654,                0.64349,                 1.0492,                0.97972,                      1,                  0.995,                0.63842,                 1.3853,                0.55386,                 1.1467,              0.0015377,              0.0015377,              0.0015377
                     97,                 1.1954,                0.61961,                 1.0574,                0.89334,                      1,                  0.973,                0.64062,                 1.3059,                0.56107,                 1.1214,              0.0015363,              0.0015363,              0.0015363
                     98,                 1.1456,                 0.6215,                 1.0644,                0.89417,                      1,                  0.929,                0.60369,                 1.4923,                0.62361,                  1.168,               0.001535,               0.001535,               0.001535
